FirstName,LastName,Date,Gender,SchoolName,Programapplying,FirstYear,FirstSemester,Course,academicCharacteristics,personalCharacteristics,id
Rakshid,Rana,05-18-2023,Male,SJSU,Master of Science,1987,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-03-2023,Male,,Master of Science,,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-15-2023,Male,sjsu,Master of Science,1987,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-16-2023,Male,,Master of Science,,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-10-2023,Male,SJSU,Master of Science,1987,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-10-2023,Male,,Master of Science,,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-09-2023,Male,SJSU,Master of Science,19878,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-17-2023,Male,SJSU,Master of Science,1987,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-09-2023,Male,,Master of Science,,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-03-2023,Male,,Master of Science,,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
Nikunj,Rana,05-16-2023,Male,,Master of Science,,Spring,CS151:/ CS166:/ CS154:/ CS160:/ CS256:/ CS146:/ CS152:/ ,submitted well-written assignments/ participated in all of my class activities/ worked hard/ was very well prepared for every exam and assignment/ picked up new skills quickly/ was able to excel academically at the top of my class/ ,very passionate/ very enthusiastic/ punctual/ attentive/ polite/ ,-1
